arquivo;questao;pagina_pdf;tema;subtipo;tema2;leitura;dificuldade;resposta;resumo;observacao
nivelA-2a-prova.pdf;2;1;TEM;;;nao;M;B;Joana viajou no sábado e voltou 9 dias depois: que dia voltou;Contar dias da semana a partir do exemplo da Carla
nivelA-2a-prova.pdf;3;1;ESP;;;nao;M;E;Qual é a imagem do palhaço no espelho;"Espelho; depende de detalhes do desenho (sobrancelhas, cores do cabelo e do chapéu)"
nivelA-2a-prova.pdf;4;2;MED;;ESP;nao;D;E;Qual linha na malha quadriculada é a mais comprida;"Resposta é 'todas iguais'; comparar pedaços em diagonal na malha"
nivelA-2a-prova.pdf;5;2;ESP;;;nao;M;B;Qual pedaço completa o espelho partido;"Encaixar peça (ângulos e lados); recortar papel ajuda"
nivelA-2a-prova.pdf;6;2;OPE;div;OPE;sim;D;C;Quantos sanduíches com 2 pacotes e meio de pão de 24 fatias;"Sanduíche = 2 fatias (info só na figura); meio pacote = metade de 24; 60 ÷ 2; tema2 = mult"
nivelA-2a-prova.pdf;7;2;NUM;;OPE;nao;D;C;Daqui a quantos anos a soma dos algarismos do ano volta a ser 12 (a partir de 2019);"Soma de algarismos; números > 100 (anos)"
nivelA-2a-prova.pdf;8;2;SEQ;;OPE;nao;D;B;Cadeiras em volta de 10 mesas quadradas juntas;"Padrão (cada mesa a mais = 2 cadeiras); dá para desenhar"
nivelA-2a-prova.pdf;9;2;LOG;;OPE;nao;M;A;"Pesos de 1 g a 6 g em 3 gavetas; somas 9 e 8: pesos da 3ª gaveta";"Atalho: total 21 - 17 = 4 = 1 + 3; tema2 = soma"
nivelA-2a-prova.pdf;10;2;CNT;;MED;nao;D;C;Qual retângulo tem a mesma área (quadradinhos) da figura;"Contar quadradinhos da figura e dos retângulos; 'área' é termo de série acima, mas contando dá"
nivelA-2a-prova.pdf;11;3;ESP;;;sim;D;C;Qual peça NÃO foi usada no quebra-cabeça;"Pergunta invertida (NÃO); peças pretas de um lado e brancas do outro (podem ser viradas); recortar ajuda"
nivelA-2a-prova.pdf;12;3;LOG;;;nao;D;E;Cinco amigas em dois andares: quem mora no primeiro andar;Quebra-cabeça lógico com restrições 'não mora no mesmo andar'
nivelA-2a-prova.pdf;13;3;LOG;;;nao;D;C;De quantas maneiras completar quadriculado 3x3 com 1, 2, 3 sem repetir em linha/coluna;Listar todas as possibilidades de forma organizada
nivelA-2a-prova.pdf;14;3;LOG;sub;OPE;nao;D;D;Soma de 3 números menos soma de 2 (5 a 9): qual resultado é possível;"Por tentativa dá; o argumento oficial (paridade, maior/menor) é de série acima"
nivelA-2a-prova.pdf;15;3;OPE;div;MED;nao;D;B;Móbile em equilíbrio: quanto pesa o objeto com ponto de interrogação;"Metades sucessivas a partir de 30 g + 30 g; depende de entender a estrutura do móbile e das cores/formas iguais"
nivelA-3a-prova.pdf;1;1;OPE;inversa;;nao;M;B;Número escondido pela borboleta em 2020 - 10 = 2005 + ?;"Igualdade com os dois lados; números > 100"
nivelA-3a-prova.pdf;2;1;CNT;;;sim;F;E;"3 triângulos, 5 quadrados, 4 círculos; apaga os de quatro lados: quantas sobram";"Pegadinha: 'figuras de quatro lados' = quadrados; sobram triângulos e círculos"
nivelA-3a-prova.pdf;3;1;OPE;div;;nao;M;C;Preço de 2 colheres e 2 garfos sabendo o preço de 4 de cada;"Dinheiro (R$); 20 ÷ 4 e 28 ÷ 4 (ou metade de cada conjunto)"
nivelA-3a-prova.pdf;4;2;OPE;mult;LOG;sim;M;C;3 animais com uma dezena de pés no total: quais animais;"'Dezena' = 10; peixe não tem pés; testar alternativas"
nivelA-3a-prova.pdf;5;2;LOG;;OPE;nao;D;B;Menor número de viagens do elevador (máx. 180 kg) para 6 pessoas;"Mínimo; soma 375 > 2 x 180; números > 100"
nivelA-3a-prova.pdf;6;2;ESP;;CNT;nao;M;B;Torta dividida em partes iguais: quantos netinhos comeram;Imaginar as linhas continuando na parte comida (10 pedaços no total)
nivelA-3a-prova.pdf;7;2;LOG;;OPE;sim;D;E;Mínimo de cadeados para pegar 52 celulares (sala, armários, caixas);"Pegadinha: a sala e cada armário também têm cadeado; mínimo"
nivelA-3a-prova.pdf;8;2;OPE;sub;POS;sim;D;D;Andorinha a 380 m, bem-te-vi a 450 m, bem no meio: onde está o canário;"'Bem no meio'; 450 - 380 = 70 e 450 + 70; números > 100"
nivelA-3a-prova.pdf;9;2;LOG;;ESP;nao;D;B;Quantos pares (pé direito + esquerdo, mesmo número) dá para formar;Precisa reconhecer pé direito x esquerdo pelo desenho da sola (lateralidade)
nivelA-3a-prova.pdf;10;2;LOG;mult;OPE;nao;D;D;Trocas entre pato, galinha, leitão e cabra: quantos patos vale uma cabra;"Substituições em cadeia (1 pato = 2 galinhas); raciocínio de equivalência"
nivelA-3a-prova.pdf;11;3;LOG;;ESP;nao;D;C;Menor número de movimentos para deixar 2 peças por linha e coluna;"Mínimo; tabuleiro 4x4; movimento na diagonal permitido"
nivelA-3a-prova.pdf;12;3;NUM;;OPE;sim;D;B;Maior diferença PAR entre um número de 3 algarismos e um de 2;"Pegadinha: 999 - 10 = 989 é ímpar; números > 100"
nivelA-3a-prova.pdf;13;3;LOG;;ESP;sim;D;A;Cubo numerado 1 a 6, um par de faces opostas soma 3: qual soma com certeza NÃO aparece;"Pergunta invertida (NÃO, com certeza); listar as possibilidades"
nivelA-3a-prova.pdf;14;3;OPE;mult;LOG;sim;D;C;Joaninhas de 5 e 6 pintas, total 43 pintas: quantas joaninhas EXATAMENTE;"Tentativa organizada (5 pequenas + 3 grandes); 'exatamente'"
nivelA-3a-prova.pdf;15;3;ESP;;;nao;D;E;Qual cubo sai da planificação dada;"Planificação de cubo; depende de tons de cinza; recortar e dobrar papel ajuda"
