arquivo;questao;pagina_pdf;tema;subtipo;tema2;leitura;dificuldade;resposta;resumo;observacao
2024-1fase-prova.pdf;15;4;TEM;;LOG;sim;D;E;Cinco amigos dizem o dia da semana de formas diferentes; só um errou.,Anteontem/ontem/amanhã/depois de amanhã, 'apenas um estava errado' - organizar em tabela.
2025-1fase-prova.pdf;1;2;CNT;;;nao;F;D;Qual figura feita de palitos tem mais palitos.;Palito compartilhado entre triângulos conta uma vez, 4 figuras têm 9 e só a D tem 10.
2025-1fase-prova.pdf;2;2;ESP;;;nao;M;C;Montar o gatinho com 4 peças numeradas e escolher a arrumação certa.;Montar figura por quadrantes, ajuda recortar as peças.
2025-1fase-prova.pdf;3;2;OPE;div;;sim;M;D;Quantos bois passar da esquerda para a direita para os cercados ficarem iguais.;Metade (12 bois no total, 6 em cada). Pegadinha: não é a diferença (8) e sim metade dela. Contar bois na figura.
2025-1fase-prova.pdf;4;2;ESP;;LOG;nao;M;C;Formiga pega sempre a folha mais próxima no quadriculado: qual a última.;Andar só na vertical/horizontal contando casas, folhas diferenciadas só pelo formato.
2025-1fase-prova.pdf;5;2;MED;;OPE;nao;M;B;Na régua, anda 5 cm à direita e 9 à esquerda: quanto andar para voltar ao início.;Tema2 OPE inversa. Régua até 30, dá para simular com o dedo na régua.
2025-1fase-prova.pdf;6;3;TEM;;SEQ;nao;D;B;8 comprimidos de 8 em 8 horas desde segunda 8h: quando é o último.;Tabela manhã/tarde/noite, cada 8 h muda o período, pegadinha: o 1º comprimido já conta (7 intervalos).
2025-1fase-prova.pdf;7;3;ESP;;;sim;D;B;Retângulo cortado em 2 quadrados e remontado: qual retângulo NÃO pode ter sido formado.;NÃO em negrito, depende de cores (estrela clara em fundo escuro), ajuda recortar e girar os quadrados.
2025-1fase-prova.pdf;8;3;OPE;div;;nao;M;C;Chocolate de 9 quadradinhos: deu um terço e depois metade do resto; com quantos ficou.,Terço e metade (fração do que restou, não do total), chocolate 3x3 ajuda a visualizar.
2025-1fase-prova.pdf;9;3;LOG;;POS;sim;M;B;Cinco meninos dizem 'sou mais alto que 2': quem fala a verdade.;Comparar alturas na figura, interpretar 'mais alto que 2' como exatamente 2 (Hélio e Emiliano são mais altos que mais de 2).
2025-1fase-prova.pdf;10;3;LOG;;;nao;M;C;4 times jogam uma vez entre si: quantas partidas.;Listar pares, AxB é a mesma partida que BxA (pegadinha de contar 12).
2025-1fase-prova.pdf;11;4;ESP;;;nao;D;D;Qual primeiro corte no quadrado permite, com mais um corte, ficar com 3 triângulos.;Precisa desenhar/recortar papel para testar cada opção.
2025-1fase-prova.pdf;12;4;NUM;;LOG;sim;M;C;Tirar 3 de 5 cartões (1 4 3 2 5) e formar o maior número com os 2 que sobram na ordem.;'Na ordem em que estão' - distrator 54 (inverte a ordem).
2025-1fase-prova.pdf;13;4;ESP;;;nao;D;C;Cubo de 8 cubinhos iguais: qual figura fica oposta ao círculo.;Vistas de sólido, exclusão das faces vizinhas, difícil sem cubo físico.
2025-1fase-prova.pdf;14;4;GRA;;;sim;M;C;Gráfico de barras de temperatura: em quantas cidades a mínima ficou entre 4 e 8 graus.;'Entre 4 e 8': barra A passa de 8 e E fica abaixo de 4, ler escala com linha.
2025-1fase-prova.pdf;15;4;LOG;;;sim;M;D;Dividir 6 caixas entre 3 crianças (grandes, de bolinha, pequenas): quais caixas uma delas recebeu.;Depende de tons de cinza e bolinhas, resolver por eliminação (pequenas, depois bolinhas, sobra a 3ª).
